adaptorId; datestamp; temperature; humidity; temperature_corrected; humidity_corrected; temperature_real; humidity_real
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:08:46.000+02:00;27.5;19.0;20.9;63.4;11.4;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:13:46.000+02:00;27.4;19.0;20.9;63.4;11.3;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:23:50.000+02:00;27.4;19.0;20.9;63.4;11.3;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:28:54.000+02:00;27.2;19.0;20.9;63.4;11.3;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:39:02.000+02:00;27.2;19.0;20.9;63.4;11.2;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:49:06.000+02:00;27.1;19.0;20.9;63.4;11.2;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T12:59:13.000+02:00;27.1;19.0;20.9;63.4;11.1;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:04:17.000+02:00;27.1;19.0;20.9;63.4;11.1;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:09:21.000+02:00;27.0;19.0;20.8;63.5;11;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:14:24.000+02:00;27.2;19.0;20.9;63.4;11;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:19:27.000+02:00;27.0;19.0;20.8;63.4;11;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:24:28.000+02:00;27.0;19.0;20.8;63.4;11;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:29:32.000+02:00;26.9;19.0;20.8;63.4;10.9;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:34:36.000+02:00;26.8;19.0;20.8;63.4;10.9;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:39:40.000+02:00;26.9;19.0;20.8;63.4;10.9;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:44:44.000+02:00;26.9;19.0;20.8;63.4;10.8;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T13:54:51.000+02:00;26.8;19.0;20.8;63.4;10.8;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:04:54.000+02:00;26.7;19.0;20.7;63.3;10.7;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:15:03.000+02:00;26.6;19.0;20.8;63.5;10.7;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:20:06.000+02:00;26.8;19.0;20.8;63.5;10.7;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:25:10.000+02:00;26.8;19.0;20.8;63.5;10.7;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:30:13.000+02:00;26.5;19.0;20.8;63.5;10.6;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:35:13.000+02:00;26.7;19.0;20.8;63.5;10.6;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:40:16.000+02:00;26.4;19.0;20.8;63.5;10.5;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:45:21.000+02:00;26.3;19.0;20.8;63.5;10.5;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:50:24.000+02:00;26.4;19.0;20.8;63.4;10.5;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T14:55:27.000+02:00;26.4;19.0;20.8;63.4;10.4;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:00:31.000+02:00;26.3;19.0;20.7;63.4;10.4;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:05:34.000+02:00;26.3;19.0;20.8;63.6;10.4;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:10:38.000+02:00;26.4;19.0;20.8;63.5;10.3;47
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:20:42.000+02:00;26.3;19.0;20.8;63.6;10.3;48
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:30:49.000+02:00;26.2;19.0;20.8;63.5;10.2;48
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:40:58.000+02:00;26.2;19.0;20.8;63.5;10.1;48
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:45:58.000+02:00;26.3;19.0;20.8;63.5;10.1;48
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:51:02.000+02:00;26.4;19.0;20.8;63.5;10.1;48
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-15T15:56:05.000+02:00;26.6;19.0;20.8;63.4;10.4;48
